name,address,postal_code,latitude,longitude
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE,738907,1.442888,103.799693
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT,737916,1.445881,103.802398
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11,768643,1.433543,103.832949
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7,768928,1.436663,103.829889
AI TONG SCHOOL,100 Bright Hill Drive,579646,1.360415,103.832615
ALEXANDRA PRIMARY SCHOOL,2A Prince Charles Crescent,159016,1.29273,103.822089
ANCHOR GREEN PRIMARY SCHOOL,31 Anchorvale Drive,544969,1.390652,103.887283
ANDERSON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,1.378043,103.845762
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9 ANDERSON PRIMARY SCHOOL,569785,1.384692,103.841225
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53,569206,1.374262,103.851456
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL,569920,1.368803,103.839266
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22,569362,1.367353,103.8426
ANGLICAN HIGH SCHOOL,600 UPPER CHANGI ROAD,487012,1.330302,103.941937
ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST,139745,1.303305,103.785253
ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD,309919,1.319611,103.835757
ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD,139650,1.302189,103.780078
ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD,227988,1.309454,103.841372
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD,309918,1.318735,103.835345
ANGSANA PRIMARY SCHOOL,3 Tampines Street 22,529366,1.348251,103.951859
ASSUMPTION ENGLISH SCHOOL,622 Upper Bukit Timah Road Assumption English School,678117,1.369148,103.767475
ASSUMPTION PATHWAY SCHOOL,30 Cashew Road,679697,1.370527,103.766753
BALESTIER HILL PRIMARY SCHOOL,565 BALESTIER ROAD,329927,1.325976,103.844562
BALESTIER HILL SECONDARY SCHOOL,11 NOVENA RISE,307516,1.324729,103.84457
BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI ROAD,538403,1.340275,103.882831
BEACON PRIMARY SCHOOL,36 Bukit Panjang Ring Road,679944,1.384235,103.77377
BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH,318990,1.34154,103.851956
BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2,469317,1.323989,103.937761
BEDOK GREEN SECONDARY SCHOOL,360 BEDOK NORTH AVE 3,469722,1.333844,103.935512
BEDOK NORTH SECONDARY SCHOOL,20 JALAN DAMAI,419612,1.334289,103.910319
BEDOK SOUTH SECONDARY SCHOOL,1 JALAN LANGGAR BEDOK,468585,1.324809,103.950977
BEDOK VIEW SECONDARY SCHOOL,6 BEDOK SOUTH AVENUE 3,469293,1.324312,103.943919
BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD,339948,1.322197,103.865365
BENDEMEER SECONDARY SCHOOL,1 ST WILFRED ROAD,327919,1.32432,103.861002
BISHAN PARK SECONDARY SCHOOL,2 SIN MING WALK,575565,1.364364,103.832825
BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS,109100,1.276261,103.808522
BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE,649930,1.34287,103.712983
BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65,648354,1.342172,103.701945
BOWEN SECONDARY SCHOOL,2 LORONG NAPIRI,547529,1.370117,103.877649
BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT,399935,1.307522,103.886698
BUKIT BATOK SECONDARY SCHOOL,50 BUKIT BATOK WEST AVE 8,658962,1.348506,103.740867
BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU,159050,1.285583,103.81344
BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVE 4,689809,1.38166,103.738424
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD,679676,1.37293,103.769259
BUKIT TIMAH PRIMARY SCHOOL,111 Lorong Kismis Bukit Timah Primary School,598112,1.337385,103.766768
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21,659634,1.34618,103.753863
